"","Suburb - Incident","sum(`Offence count`)"
"579","LANGKOOP",1
"580","LARGS BAY",271
"581","LARGS NORTH",176
"582","LAURA",7
"583","LEABROOK",25
"584","LEAWOOD GARDENS",20
"585","LEIGH CREEK",11
"586","LEIGH CREEK STATION",6
"587","LEIGHTON",1
"588","LENSWOOD",3
"589","LEWISTON",73
"590","LIGHT PASS",15
"591","LIGHTSVIEW",271
"592","LINCOLN GAP",2
"593","LINCOLN NATIONAL PARK",2
"594","LINDEN PARK",61
"595","LIPSON",3
"596","LITTLEHAMPTON",80
"597","LOBETHAL",25
"598","LOCHABER",2
"599","LOCHIEL",9
"600","LOCK",5
"601","LOCKLEYS",140
"602","LONG FLAT",3
"603","LONG PLAINS",2
"604","LONGREACH",1
"605","LONGWOOD",4
"606","LONSDALE",208
"607","LOUTH BAY",7
"608","LOVEDAY",13
"609","LOWER HERMITAGE",8
"610","LOWER LIGHT",17
"611","LOWER MITCHAM",43
"612","LOXTON",161
"613","LOXTON NORTH",11
"614","LUCINDALE",8
"615","LYNDOCH",59
"616","LYNTON",15
"617","LYRUP",6
"618","MAAOUPE",2
"619","MACCLESFIELD",23
"620","MACDONALD PARK",17
"621","MACGILLIVRAY",1
"622","MAGILL",232
"623","MAITLAND",48
"624","MAKIN",1
"625","MALLALA",17
"626","MALVERN",73
"627","MALVERN EAST",1
"628","MAMBRAY CREEK",1
"629","MANGALO",1
"630","MANNA HILL",1
"631","MANNANARIE",2
"632","MANNINGHAM",50
"633","MANNUM",123
"634","MANOORA",2
"635","MANSFIELD PARK",286
"636","MARAMA",1
"637","MARANANGA",2
"638","MARDEN",135
"639","MARINO",34
"640","MARION",240
"641","MARION BAY",5
"642","MARKS LANDING",1
"643","MARLA",19
"644","MARLESTON",102
"645","MARRABEL",3
"646","MARREE",3
"647","MARRYATVILLE",19
"648","MASLIN BEACH",24
"649","MATTA FLAT",8
"650","MAUDE",1
"651","MAUDSLAND",1
"652","MAWSON LAKES",829
"653","MAYLANDS",70
"654","MCBEAN POUND",1
"655","MCCRACKEN",46
"656","MCHARG CREEK",1
"657","MCLAREN FLAT",6
"658","MCLAREN VALE",116
"659","MEADOWS",24
"660","MEDINDIE",62
"661","MEDINDIE GARDENS",11
"662","MELBOURNE",2
"663","MELROSE",8
"664","MELROSE PARK",129
"665","MENINGIE",38
"666","MERGHINY",1
"667","MERIBAH",1
"668","MERMAID BEACH",1
"669","MERRITON",1
"670","MICKLEHAM",1
"671","MIDDLE BEACH",12
"672","MIDDLETON",27
"673","MIL-LEL",3
"674","MILANG",29
"675","MILE END",493
"676","MILE END SOUTH",132
"677","MILENDELLA",1
"678","MILLICENT",215
"679","MILLSWOOD",57
"680","MILTON",1
"681","MIMILI",67
"682","MINBRIE",4
"683","MINDARIE",1
"684","MINGBOOL",1
"685","MINLATON",13
"686","MINNIPA",5
"687","MINTARO",3
"688","MINTO",1
"689","MIRANDA",1
"690","MITCHAM",60
"691","MITCHELL",1
"692","MITCHELL PARK",338
"693","MOANA",100
"694","MOCULTA",2
"695","MODBURY",908
"696","MODBURY HEIGHTS",140
"697","MODBURY NORTH",183
"698","MOE",1
"699","MONARTO",6
"700","MONARTO SOUTH",11
"701","MONASH",31
"702","MONBULLA",1
"703","MONTACUTE",2
"704","MONTEITH",7
"705","MOOMBA",2
"706","MOONTA",62
"707","MOONTA BAY",41
"708","MOONTA MINES",7
"709","MOORABBIN",1
"710","MOORAK",20
"711","MOORLANDS",5
"712","MOOROOK",5
"713","MOOROOK SOUTH",3
"714","MOPPA",2
"715","MORGAN",26
"716","MORLEY",2
"717","MORN HILL",1
"718","MORPHETT VALE",1668
"719","MORPHETTVILLE",140
"720","MOSELEY",7
"721","MOSQUITO HILL",2
"722","MOUNT BARKER",669
"723","MOUNT BARKER SPRINGS",2
"724","MOUNT BARKER SUMMIT",1
"725","MOUNT BENSON",1
"726","MOUNT BRYAN",12
"727","MOUNT BURR",10
"728","MOUNT COMPASS",28
"729","MOUNT CRAWFORD",2
"730","MOUNT GAMBIER",1580
"731","MOUNT GEORGE",5
"732","MOUNT IVE",1
"733","MOUNT JAGGED",4
"734","MOUNT LOFTY",1
"735","MOUNT MAGNIFICENT",2
"736","MOUNT MARY",5
"737","MOUNT MCINTYRE",2
"738","MOUNT MCKENZIE",2
"739","MOUNT OSMOND",15
"740","MOUNT PLEASANT",4
"741","MOUNT SCHANK",2
"742","MOUNT TEMPLETON",1
"743","MOUNT TORRENS",7
"744","MOUNT WAVERLEY",1
"745","MOUNT WILLOUGHBY",2
"746","MOYHALL",2
"747","MUDAMUCKLA",1
"748","MULGRAVE",1
"749","MULLAQUANA",6
"750","MUMBANNAR",1
"751","MUNDARING",1
"752","MUNDOORA",2
"753","MUNDULLA",8
"754","MUNNO PARA",799
"755","MUNNO PARA DOWNS",16
"756","MUNNO PARA WEST",298
"757","MURBKO",6
"758","MURDINGA",2
"759","MURPUTJA",1
"760","MURRAWONG",1
"761","MURRAY BRIDGE",1623
"762","MURRAY BRIDGE EAST",55
"763","MURRAY BRIDGE NORTH",2
"764","MURRAY BRIDGE SOUTH",13
"765","MURTHO",3
"766","MUSTON",2
"767","MYERS FLAT",1
"768","MYLOR",16
"769","MYPOLONGA",9
"770","MYPONGA",32
"771","MYRTLE BANK",70
"772","NAILSWORTH",173
"773","NAIN",1
"774","NAIRNE",81
"775","NALPA",1
"776","NALYAPPA",2
"777","NANGKITA",2
"778","NANGWARRY",21
"779","NANNEELLA",1
"780","NANTAWARRA",2
"781","NAPPERBY",25
"782","NARACOORTE",140
"783","NARRUNG",3
"784","NEALES FLAT",1
"785","NELSHABY",1
"786","NEPABUNNA",7
"787","NEPEAN BAY",7
"788","NETHERBY",50
"789","NETHERTON",1
"790","NETLEY",68
"791","NEW PORT",42
"792","NEW TOWN",25
"793","NEWLAND",1
"794","NEWTON",322
"795","NGUNNAWAL",1
"796","NILDOTTIE",1
"797","NINNES",3
"798","NOARLUNGA CENTRE",914
"799","NOARLUNGA DOWNS",247
"800","NORMANVILLE",40
"801","NORTH ADELAIDE",822
"802","NORTH BALGOWLAH",1
"803","NORTH BEACH",5
"804","NORTH BLINMAN",1
"805","NORTH BRIGHTON",134
"806","NORTH HAVEN",185
"807","NORTH MOONTA",22
"808","NORTH PLYMPTON",116
"809","NORTH SHIELDS",29
"810","NORTHERN HEIGHTS",17
"811","NORTHFIELD",369
"812","NORTHGATE",126
"813","NORTON SUMMIT",6
"814","NORWOOD",586
"815","NOT DISCLOSED",2509
"816","NOVAR GARDENS",150
"817","NULLARBOR",5
"818","NURIOOTPA",248
"819","NYAPARI",7
"820","O'HALLORAN HILL",145
"821","O'SULLIVAN BEACH",106
"822","O'SULLIVANS BEACH",1
"823","OAK VALLEY",3
"824","OAKBANK",10
"825","OAKDEN",117
"826","OAKDEN HILLS",1
"827","OAKLANDS PARK",1368
"828","OB FLAT",1
"829","OLD CALPERUM",5
"830","OLD NOARLUNGA",122
"831","OLD REYNELLA",350
"832","OLYMPIC DAM",8
"833","ONE TREE HILL",32
"834","ONKAPARINGA",2
"835","ONKAPARINGA HILLS",40
"836","OODLA WIRRA",1
"837","OODNADATTA",10
"838","ORROROO",7
"839","OSBORNE",102
"840","OTTOWAY",171
"841","OUTER HARBOR",14
"842","OVERLAND CORNER",5
"843","OVINGHAM",117
"844","OWEN",15
"845","PADTHAWAY",3
"846","PAGES FLAT",2
"847","PAISLEY",9
"848","PALLAMANA",2
"849","PALMER",5
"850","PANITYA",1
"851","PANORAMA",70
"852","PARA HILLS",434
"853","PARA HILLS WEST",419
"854","PARA VISTA",171
"855","PARACOMBE",15
"856","PARADISE",265
"857","PARAFIELD",215
"858","PARAFIELD GARDENS",874
"859","PARAHILLS",1
"860","PARALOWIE",1177
"861","PARAMATTA",1
"862","PARAWA",2
"863","PARHAM",5
"864","PARILLA",4
"865","PARINGA",24
"866","PARIS CREEK",2
"867","PARK HOLME",303
"868","PARKHOLME",1
"869","PARKSIDE",223
"870","PARNDANA",3
"871","PASADENA",183
"872","PASKEVILLE",8
"873","PATA",2
"874","PAYNEHAM",64
"875","PAYNEHAM SOUTH",44
"876","PEAKE",4
"877","PEKINA",1
"878","PELICAN LAGOON",3
"879","PELICAN POINT",1
"880","PELLARING FLAT",1
